Dataset,Label Name,Label Family,Description,Model Task Type,Target Condition,Applicability Rule,Availability Date Column,Status Column,Data-End Censoring Column,Unavailable Reason Column,Ambiguity Semantics,Horizon Count Semantics,ML Input Allowed,Legacy Alias Of
d1_position_day,NEXT_5_SESSION_RETURN,POSITION_DAY_FORWARD_PATH,Next-5-session RETURN from completed management close,REGRESSION,,Position-day row exists,NEXT_5_SESSION_LABEL_AVAILABLE_DATE,NEXT_5_SESSION_STATUS,NEXT_5_SESSION_DATA_END_CENSORED,NEXT_5_SESSION_UNAVAILABLE_REASON,,AFTER_MANAGEMENT_N_SESSIONS,False,
trade_opportunity,D1_SHADOW_BARS_HELD,INDEPENDENT_D1_SHADOW_OUTCOME,Independent capacity-free frozen D1 final outcome,REGRESSION_OR_CLASSIFICATION,,Dataset Cohort == BASELINE_PRIMARY AND ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,D1_SHADOW_LABEL_AVAILABLE_DATE,D1_SHADOW_STATUS,D1_SHADOW_DATA_END_CENSORED,D1_SHADOW_UNAVAILABLE_REASON,CONSERVATIVE_STOP_FIRST,ENTRY_INCLUSIVE_SESSION_COUNT,False,
trade_opportunity,D1_SHADOW_EXIT_REASON,INDEPENDENT_D1_SHADOW_OUTCOME,Independent capacity-free frozen D1 final outcome,REGRESSION_OR_CLASSIFICATION,,Dataset Cohort == BASELINE_PRIMARY AND ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,D1_SHADOW_LABEL_AVAILABLE_DATE,D1_SHADOW_STATUS,D1_SHADOW_DATA_END_CENSORED,D1_SHADOW_UNAVAILABLE_REASON,CONSERVATIVE_STOP_FIRST,ENTRY_INCLUSIVE_SESSION_COUNT,False,
trade_opportunity,D1_SHADOW_NET_R,INDEPENDENT_D1_SHADOW_OUTCOME,Independent capacity-free frozen D1 final outcome,REGRESSION_OR_CLASSIFICATION,,Dataset Cohort == BASELINE_PRIMARY AND ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,D1_SHADOW_LABEL_AVAILABLE_DATE,D1_SHADOW_STATUS,D1_SHADOW_DATA_END_CENSORED,D1_SHADOW_UNAVAILABLE_REASON,CONSERVATIVE_STOP_FIRST,ENTRY_INCLUSIVE_SESSION_COUNT,False,
trade_opportunity,D1_SHADOW_NET_RETURN_PCT,INDEPENDENT_D1_SHADOW_OUTCOME,Independent capacity-free frozen D1 final outcome,REGRESSION_OR_CLASSIFICATION,,Dataset Cohort == BASELINE_PRIMARY AND ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,D1_SHADOW_LABEL_AVAILABLE_DATE,D1_SHADOW_STATUS,D1_SHADOW_DATA_END_CENSORED,D1_SHADOW_UNAVAILABLE_REASON,CONSERVATIVE_STOP_FIRST,ENTRY_INCLUSIVE_SESSION_COUNT,False,
trade_opportunity,ENTRY_FILLED,ENTRY_FILL_CLASSIFICATION,Whether the frozen order filled within its required setup-specific entry window,BINARY_CLASSIFICATION,,Opportunity Eligible == TRUE,ENTRY_LABEL_AVAILABLE_DATE,ENTRY_STATUS,ENTRY_DATA_END_CENSORED,ENTRY_UNAVAILABLE_REASON,,SETUP_SPECIFIC_FUTURE_SESSION_WINDOW,False,
trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT,FORWARD_RETURN,Close return to the 10th entry-inclusive session,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_10_AVAILABLE_DATE,FWD_10_STATUS,FWD_10_DATA_END_CENSORED,FWD_10_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_R,FORWARD_RETURN_R,Risk-normalized close return to the 10th entry-inclusive session,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_10_AVAILABLE_DATE,FWD_10_STATUS,FWD_10_DATA_END_CENSORED,FWD_10_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,FWD_CLOSE_RETURN_10_PCT,LEGACY_ALIAS,Exact alias of FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_10_AVAILABLE_DATE,FWD_10_STATUS,FWD_10_DATA_END_CENSORED,FWD_10_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT
trade_opportunity,FWD_CLOSE_RETURN_10_R,LEGACY_ALIAS,Exact alias of FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_R,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_10_AVAILABLE_DATE,FWD_10_STATUS,FWD_10_DATA_END_CENSORED,FWD_10_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_R
trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT,FORWARD_RETURN,Close return to the 20th entry-inclusive session,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_20_AVAILABLE_DATE,FWD_20_STATUS,FWD_20_DATA_END_CENSORED,FWD_20_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_R,FORWARD_RETURN_R,Risk-normalized close return to the 20th entry-inclusive session,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_20_AVAILABLE_DATE,FWD_20_STATUS,FWD_20_DATA_END_CENSORED,FWD_20_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,FWD_CLOSE_RETURN_20_PCT,LEGACY_ALIAS,Exact alias of FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_20_AVAILABLE_DATE,FWD_20_STATUS,FWD_20_DATA_END_CENSORED,FWD_20_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT
trade_opportunity,FWD_CLOSE_RETURN_20_R,LEGACY_ALIAS,Exact alias of FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_R,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_20_AVAILABLE_DATE,FWD_20_STATUS,FWD_20_DATA_END_CENSORED,FWD_20_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_R
trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT,FORWARD_RETURN,Close return to the 30th entry-inclusive session,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_30_AVAILABLE_DATE,FWD_30_STATUS,FWD_30_DATA_END_CENSORED,FWD_30_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_R,FORWARD_RETURN_R,Risk-normalized close return to the 30th entry-inclusive session,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_30_AVAILABLE_DATE,FWD_30_STATUS,FWD_30_DATA_END_CENSORED,FWD_30_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,FWD_CLOSE_RETURN_30_PCT,LEGACY_ALIAS,Exact alias of FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_30_AVAILABLE_DATE,FWD_30_STATUS,FWD_30_DATA_END_CENSORED,FWD_30_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT
trade_opportunity,FWD_CLOSE_RETURN_30_R,LEGACY_ALIAS,Exact alias of FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_R,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_30_AVAILABLE_DATE,FWD_30_STATUS,FWD_30_DATA_END_CENSORED,FWD_30_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_R
trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT,FORWARD_RETURN,Close return to the 45th entry-inclusive session,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_45_AVAILABLE_DATE,FWD_45_STATUS,FWD_45_DATA_END_CENSORED,FWD_45_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_R,FORWARD_RETURN_R,Risk-normalized close return to the 45th entry-inclusive session,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_45_AVAILABLE_DATE,FWD_45_STATUS,FWD_45_DATA_END_CENSORED,FWD_45_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,FWD_CLOSE_RETURN_45_PCT,LEGACY_ALIAS,Exact alias of FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_45_AVAILABLE_DATE,FWD_45_STATUS,FWD_45_DATA_END_CENSORED,FWD_45_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT
trade_opportunity,FWD_CLOSE_RETURN_45_R,LEGACY_ALIAS,Exact alias of FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_R,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_45_AVAILABLE_DATE,FWD_45_STATUS,FWD_45_DATA_END_CENSORED,FWD_45_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_R
trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT,FORWARD_RETURN,Close return to the 63th entry-inclusive session,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_63_AVAILABLE_DATE,FWD_63_STATUS,FWD_63_DATA_END_CENSORED,FWD_63_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_R,FORWARD_RETURN_R,Risk-normalized close return to the 63th entry-inclusive session,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_63_AVAILABLE_DATE,FWD_63_STATUS,FWD_63_DATA_END_CENSORED,FWD_63_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,FWD_CLOSE_RETURN_63_PCT,LEGACY_ALIAS,Exact alias of FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_63_AVAILABLE_DATE,FWD_63_STATUS,FWD_63_DATA_END_CENSORED,FWD_63_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT
trade_opportunity,FWD_CLOSE_RETURN_63_R,LEGACY_ALIAS,Exact alias of FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_R,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_63_AVAILABLE_DATE,FWD_63_STATUS,FWD_63_DATA_END_CENSORED,FWD_63_UNAVAILABLE_REASON,,ENTRY_INCLUSIVE_N_SESSIONS,False,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_R
trade_opportunity,MAE_PCT_10_CONSERVATIVE,FORWARD_PATH,MAE_PCT over 10 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_10_AVAILABLE_DATE,FWD_10_STATUS,FWD_10_DATA_END_CENSORED,FWD_10_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MAE_PCT_20_CONSERVATIVE,FORWARD_PATH,MAE_PCT over 20 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_20_AVAILABLE_DATE,FWD_20_STATUS,FWD_20_DATA_END_CENSORED,FWD_20_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MAE_PCT_30_CONSERVATIVE,FORWARD_PATH,MAE_PCT over 30 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_30_AVAILABLE_DATE,FWD_30_STATUS,FWD_30_DATA_END_CENSORED,FWD_30_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MAE_PCT_45_CONSERVATIVE,FORWARD_PATH,MAE_PCT over 45 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_45_AVAILABLE_DATE,FWD_45_STATUS,FWD_45_DATA_END_CENSORED,FWD_45_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MAE_PCT_63_CONSERVATIVE,FORWARD_PATH,MAE_PCT over 63 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_63_AVAILABLE_DATE,FWD_63_STATUS,FWD_63_DATA_END_CENSORED,FWD_63_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MAE_R_10_CONSERVATIVE,FORWARD_PATH,MAE_R over 10 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_10_AVAILABLE_DATE,FWD_10_STATUS,FWD_10_DATA_END_CENSORED,FWD_10_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MAE_R_10_FULL_BAR_DIAGNOSTIC,FORWARD_PATH,MAE_R over 10 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_10_AVAILABLE_DATE,FWD_10_STATUS,FWD_10_DATA_END_CENSORED,FWD_10_UNAVAILABLE_REASON,ENTRY_BAR_MAY_BE_AMBIGUOUS,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MAE_R_20_CONSERVATIVE,FORWARD_PATH,MAE_R over 20 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_20_AVAILABLE_DATE,FWD_20_STATUS,FWD_20_DATA_END_CENSORED,FWD_20_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MAE_R_20_FULL_BAR_DIAGNOSTIC,FORWARD_PATH,MAE_R over 20 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_20_AVAILABLE_DATE,FWD_20_STATUS,FWD_20_DATA_END_CENSORED,FWD_20_UNAVAILABLE_REASON,ENTRY_BAR_MAY_BE_AMBIGUOUS,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MAE_R_30_CONSERVATIVE,FORWARD_PATH,MAE_R over 30 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_30_AVAILABLE_DATE,FWD_30_STATUS,FWD_30_DATA_END_CENSORED,FWD_30_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MAE_R_30_FULL_BAR_DIAGNOSTIC,FORWARD_PATH,MAE_R over 30 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_30_AVAILABLE_DATE,FWD_30_STATUS,FWD_30_DATA_END_CENSORED,FWD_30_UNAVAILABLE_REASON,ENTRY_BAR_MAY_BE_AMBIGUOUS,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MAE_R_45_CONSERVATIVE,FORWARD_PATH,MAE_R over 45 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_45_AVAILABLE_DATE,FWD_45_STATUS,FWD_45_DATA_END_CENSORED,FWD_45_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MAE_R_45_FULL_BAR_DIAGNOSTIC,FORWARD_PATH,MAE_R over 45 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_45_AVAILABLE_DATE,FWD_45_STATUS,FWD_45_DATA_END_CENSORED,FWD_45_UNAVAILABLE_REASON,ENTRY_BAR_MAY_BE_AMBIGUOUS,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MAE_R_63_CONSERVATIVE,FORWARD_PATH,MAE_R over 63 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_63_AVAILABLE_DATE,FWD_63_STATUS,FWD_63_DATA_END_CENSORED,FWD_63_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MAE_R_63_FULL_BAR_DIAGNOSTIC,FORWARD_PATH,MAE_R over 63 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_63_AVAILABLE_DATE,FWD_63_STATUS,FWD_63_DATA_END_CENSORED,FWD_63_UNAVAILABLE_REASON,ENTRY_BAR_MAY_BE_AMBIGUOUS,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MFE_PCT_10_CONSERVATIVE,FORWARD_PATH,MFE_PCT over 10 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_10_AVAILABLE_DATE,FWD_10_STATUS,FWD_10_DATA_END_CENSORED,FWD_10_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MFE_PCT_20_CONSERVATIVE,FORWARD_PATH,MFE_PCT over 20 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_20_AVAILABLE_DATE,FWD_20_STATUS,FWD_20_DATA_END_CENSORED,FWD_20_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MFE_PCT_30_CONSERVATIVE,FORWARD_PATH,MFE_PCT over 30 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_30_AVAILABLE_DATE,FWD_30_STATUS,FWD_30_DATA_END_CENSORED,FWD_30_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MFE_PCT_45_CONSERVATIVE,FORWARD_PATH,MFE_PCT over 45 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_45_AVAILABLE_DATE,FWD_45_STATUS,FWD_45_DATA_END_CENSORED,FWD_45_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MFE_PCT_63_CONSERVATIVE,FORWARD_PATH,MFE_PCT over 63 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_63_AVAILABLE_DATE,FWD_63_STATUS,FWD_63_DATA_END_CENSORED,FWD_63_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MFE_R_10_CONSERVATIVE,FORWARD_PATH,MFE_R over 10 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_10_AVAILABLE_DATE,FWD_10_STATUS,FWD_10_DATA_END_CENSORED,FWD_10_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MFE_R_10_FULL_BAR_DIAGNOSTIC,FORWARD_PATH,MFE_R over 10 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_10_AVAILABLE_DATE,FWD_10_STATUS,FWD_10_DATA_END_CENSORED,FWD_10_UNAVAILABLE_REASON,ENTRY_BAR_MAY_BE_AMBIGUOUS,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MFE_R_20_CONSERVATIVE,FORWARD_PATH,MFE_R over 20 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_20_AVAILABLE_DATE,FWD_20_STATUS,FWD_20_DATA_END_CENSORED,FWD_20_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MFE_R_20_FULL_BAR_DIAGNOSTIC,FORWARD_PATH,MFE_R over 20 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_20_AVAILABLE_DATE,FWD_20_STATUS,FWD_20_DATA_END_CENSORED,FWD_20_UNAVAILABLE_REASON,ENTRY_BAR_MAY_BE_AMBIGUOUS,ENTRY_INCLUSIVE_N_SESSIONS,False,
trade_opportunity,MFE_R_30_CONSERVATIVE,FORWARD_PATH,MFE_R over 30 entry-inclusive sessions,REGRESSION,,ENTRY_FILLED == TRUE AND ENTRY_RISK_VALID == TRUE,FWD_30_AVAILABLE_DATE,FWD_30_STATUS,FWD_30_DATA_END_CENSORED,FWD_30_UNAVAILABLE_REASON,CONSERVATIVE_POST_ENTRY,ENTRY_INCLUSIVE_N_SESSIONS,False,
