Dataset,Feature Name,Feature Group,Data Type,Source,Formula / Description,As-Of Semantics,Point-In-Time Safe,ML Allowed,Reason if ML Disallowed,Missing Value Meaning,Known Ambiguity,Stage Source
d1_position_day,Current NIFTY Return 20D %,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current NIFTY Return 5D %,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current NIFTY Volatility 20D %,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current NIFTY Weekly RSI,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current NIFTY Weekly ST Direction,MARKET_CONTEXT,int64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current R,TRADE_STATE,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current Stock Realized Volatility 20D %,VOLATILITY,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current Stock Return 20D %,MOMENTUM,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current Stock Return 5D %,MOMENTUM,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current Stop,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current Volume Ratio,VOLUME,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Daily ST,STOCK_TREND,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
d1_position_day,Daily ST Direction,STOCK_TREND,int64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Days Held,TRADE_STATE,int64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Entry Actionability Score,RULE_ENGINE_DERIVED_FEATURES,int64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Entry Market Regime,MARKET_CONTEXT,str,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Entry Technical Score,RULE_ENGINE_DERIVED_FEATURES,int64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Executed Entry,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Initial Stop,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Original Signal,RULE_ENGINE_DERIVED_FEATURES,str,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
d1_position_day,Original T1,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Original T2,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Previous Session Stop,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,RS120,RELATIVE_STRENGTH,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,RS20,RELATIVE_STRENGTH,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,RS60,RELATIVE_STRENGTH,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,RSI,MOMENTUM,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,SMA20,STOCK_TREND,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,SMA200,STOCK_TREND,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,SMA50,STOCK_TREND,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Setup,SETUP_STRUCTURE,str,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
d1_position_day,Stop Distance R,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Stop Revision Count,TRADE_STATE,int64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,T1 Distance R,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,T2 Distance R,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Weekly RSI,MOMENTUM,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
d1_position_day,Weekly ST,STOCK_TREND,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
d1_position_day,Weekly ST Direction,STOCK_TREND,int64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
signal_state,20 DMA,STOCK_TREND,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,200 DMA,STOCK_TREND,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,50 DMA,STOCK_TREND,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,ADX,MOMENTUM,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Actionability Score,RULE_ENGINE_DERIVED_FEATURES,int64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Daily RSI,MOMENTUM,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Daily ST,STOCK_TREND,str,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Distance 20DMA %,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Distance 50DMA %,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Distance To Support %,SETUP_STRUCTURE,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Distance To T1 %,RISK_REWARD,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Distance To T2 %,RISK_REWARD,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Entry High,RISK_REWARD,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Entry Low,RISK_REWARD,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Initial Risk %,RISK_REWARD,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Market Regime,MARKET_CONTEXT,str,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Market Score,MARKET_CONTEXT,int64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY ADX,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY ATR %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Close,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Daily RSI,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Daily ST,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Daily ST Direction,MARKET_CONTEXT,int64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Distance SMA20 %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Distance SMA200 %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Distance SMA50 %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Drawdown From 252D High %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Feature Source Date,MARKET_CONTEXT,datetime64[us],Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,False,RAW CALENDAR OR SOURCE-LINEAGE DATE; AUDIT METADATA ONLY,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Market Score,MARKET_CONTEXT,int64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Regime,MARKET_CONTEXT,str,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Return 20D %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Return 5D %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Return 60D %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Rolling Volatility 20D %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY SMA20,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY SMA200,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY SMA50,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Weekly RSI,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Weekly ST,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,NIFTY Weekly ST Direction,MARKET_CONTEXT,int64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Original Signal,RULE_ENGINE_DERIVED_FEATURES,str,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Overextended,SETUP_STRUCTURE,bool,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
signal_state,Price,STOCK_TREND,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
