Feature Name,Feature Group,Data Type,Source,Formula / Description,As-Of Semantics,Point-In-Time Safe,ML Allowed,Reason if ML Disallowed,Missing Value Meaning,Known Ambiguity,Stage Source
Current NIFTY Drawdown 252D %,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current NIFTY Return 20D %,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current NIFTY Return 5D %,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current NIFTY Volatility 20D %,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current NIFTY Weekly RSI,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current NIFTY Weekly ST Direction,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current R,TRADE_STATE,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current Stock Realized Volatility 20D %,VOLATILITY,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current Stock Return 20D %,MOMENTUM,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current Stock Return 5D %,MOMENTUM,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current Stop,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current Volume Ratio,VOLUME,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Daily RSI,MOMENTUM,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Daily ST,STOCK_TREND,str,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Daily ST Direction,STOCK_TREND,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Days Held,TRADE_STATE,int64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Distance 20DMA %,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Distance 50DMA %,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Distance To Support %,SETUP_STRUCTURE,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Distance To T1 %,RISK_REWARD,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Distance To T2 %,RISK_REWARD,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Entry Actionability Score,RULE_ENGINE_DERIVED_FEATURES,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Entry High,RISK_REWARD,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Entry Low,RISK_REWARD,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Entry Market Regime,MARKET_CONTEXT,str,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Entry Technical Score,RULE_ENGINE_DERIVED_FEATURES,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Executed Entry,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Initial Risk %,RISK_REWARD,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Initial Stop,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Market Regime,MARKET_CONTEXT,str,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Market Score,MARKET_CONTEXT,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY ADX,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY ATR %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Close,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Daily RSI,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Daily ST,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Daily ST Direction,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Distance SMA20 %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Distance SMA200 %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Distance SMA50 %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Drawdown From 252D High %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Feature Source Date,MARKET_CONTEXT,datetime64[us],Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Market Score,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Regime,MARKET_CONTEXT,str,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Return 20D %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Return 5D %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Return 60D %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Rolling Volatility 20D %,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY SMA20,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY SMA200,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY SMA50,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Weekly RSI,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Weekly ST,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
NIFTY Weekly ST Direction,MARKET_CONTEXT,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Original Signal,RULE_ENGINE_DERIVED_FEATURES,str,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Original T1,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Original T2,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Overextended,SETUP_STRUCTURE,bool,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Previous Session Stop,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Price,STOCK_TREND,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
R:R T1,RISK_REWARD,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
R:R T2,RISK_REWARD,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
RS 120D,RELATIVE_STRENGTH,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
RS 20D,RELATIVE_STRENGTH,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
RS 60D,RELATIVE_STRENGTH,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
RS120,RELATIVE_STRENGTH,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
RS120 Cross-Sectional Percentile,RELATIVE_STRENGTH,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
RS20,RELATIVE_STRENGTH,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
RS20 Cross-Sectional Percentile,RELATIVE_STRENGTH,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
RS60,RELATIVE_STRENGTH,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
RS60 Cross-Sectional Percentile,RELATIVE_STRENGTH,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
RSI,MOMENTUM,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Resistance 1,SETUP_STRUCTURE,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Resistance 2,SETUP_STRUCTURE,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
SMA20,STOCK_TREND,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
SMA200,STOCK_TREND,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
SMA50,STOCK_TREND,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Setup,SETUP_STRUCTURE,str,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Signal,RULE_ENGINE_DERIVED_FEATURES,str,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock ATR,VOLATILITY,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock ATR %,VOLATILITY,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Average Volume 20,VOLUME,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
